Issue Type,Summary,Issue key,Issue id,Status,Priority,Resolution,Created,Resolved,Custom field (Actual Start  Time),Custom field (Actual End Time),Custom field (End Time),Custom field (Start Time),Custom field (Customer),Custom field (Deployment Success),Customer Request Type,Assignee,Labels,Labels,Labels
Customer Service Request,Certificate is expiring ,SMXBID-2471,110362,Resolved,Trivial,Done,12/May/21 10:18,14/May/21 09:32,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID (CMM PROD, SM PROD) Cert Request for (CMM, SM),(JAO)",SMXBID-2470,110342,Resolved,Trivial,Done,12/May/21 09:16,14/May/21 09:37,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,"SOB / PMI, LTS issue / EMCO (NEMO) / Sudden deletion of RabbitMQ queue",SMXBID-2469,110323,Resolved,Minor,Resolved,11/May/21 15:11,19/May/21 08:38,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,SIDC - Joint SC - XBID SLA Reports for April 2021,SMXBID-2468,110305,Resolved,Minor,Done,11/May/21 11:00,14/Sep/21 10:16,,,,,,,XBID SLA Reporting,oh856,XBID-ServiceDesk,,
Customer Service Request,Create new IMT + JIRA account for TTG,SMXBID-2467,110237,Resolved,Minor,Done,10/May/21 11:37,13/May/21 09:32,,,,,,,XBID Service Desk (IMT) Questions & Issues,yn731,XBID-ServiceDesk,,
Incident,MINOR INCIDENT/ SOB/ WebGUI / OMIE (NEMO),SMXBID-2466,110175,Resolved,Minor,Resolved,06/May/21 21:21,21/May/21 15:30,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Problem,SMXBID CLONE: CRITICAL / SOB / MATCHING / EMCO[NEMO] / Core failover initiated,SMXBID-2465,110033,Closed,Major,Resolved,05/May/21 09:28,20/May/21 10:44,,,,,,,Critical Incident,yn731,XBID-ServiceDesk,,
Incident,SOB / PMI / EMCO[NEMO] / Abnormal latency towards XBID,SMXBID-2463,110029,Closed,Minor,Fixed,05/May/21 08:50,09/Jun/21 08:16,,,,,,, Minor Incident,lw641,XBID-ServiceDesk,,
Customer Service Request,"XBID/ ICS Prod Cert Request for IMT, Amprion ",SMXBID-2462,109938,Resolved,Trivial,Resolved,04/May/21 03:17,19/May/21 11:50,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,New password on both PROD environment(CMM & SM).,SMXBID-2461,109908,Resolved,Minor,Declined,02/May/21 11:00,03/May/21 09:38,,,,,,,Password Reset & Account Unlock,ub113,XBID-ServiceDesk,,
Customer Service Request,ELES new passwords,SMXBID-2460,109905,Closed,Minor,Declined,02/May/21 08:44,03/May/21 14:50,,,,,,,Password Reset & Account Unlock,yq577,XBID-ServiceDesk,,
Customer Service Request,certificate renewal request ,SMXBID-2459,109895,Resolved,Trivial,Done,30/Apr/21 13:27,03/May/21 09:34,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Incident,Minor / SOB / WebGUI / TGE (NEMO) / Recent reports not available,SMXBID-2458,109880,Resolved,Minor,Duplicate,30/Apr/21 10:38,30/Apr/21 16:49,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,Password restoration for AST user Andris Līcis,SMXBID-2457,109878,Resolved,Minor,Done,30/Apr/21 10:37,03/May/21 17:43,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Incident,API Access for Trader EPQTRAR1 doesn work,SMXBID-2456,109856,Resolved,Minor,Not a Bug,29/Apr/21 15:03,04/May/21 08:32,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,JIRA FB account locked,SMXBID-2454,109826,Closed,Minor,Done,29/Apr/21 10:28,29/Apr/21 10:59,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Incident,Minor Incident - sFTP - PMI Logger - OMIE (NEMO) - PMI log reports not generated,SMXBID-2453,109821,Closed,Minor,Resolved,29/Apr/21 09:47,04/May/21 14:13,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Incident,Minor Incident - SOB - Reporting Engine - OMIE (NEMO) - XML reports not generated,SMXBID-2452,109820,Closed,Minor,Resolved,29/Apr/21 09:41,06/May/21 10:37,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Incident,Minor Incident - SOB - Trade Report - EPEX (NEMO) - Missing TRM03 TC Reports (540+810),SMXBID-2451,109809,Resolved,Minor,Resolved,29/Apr/21 08:29,04/May/21 08:31,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Incident,ATC publishing time and OCC files for TTG-NO2 ,SMXBID-2450,109808,Closed,Minor,Not a Bug,29/Apr/21 08:25,19/Jul/21 15:51,,,,,,, Minor Incident,ub113,XBID-ServiceDesk,,
Incident,Minor/SOB/ComTrader/TGE(NEMO),SMXBID-2449,109805,Closed,Minor,Not a Bug,28/Apr/21 22:38,29/Apr/21 09:25,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,JIRA/IMT Certificate update,SMXBID-2447,109550,Resolved,Trivial,Done,22/Apr/21 11:59,26/Apr/21 10:56,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Service Request / SOB-SM / WebGUI / OMIE (NEMO),SMXBID-2446,109457,Closed,Trivial,Done,20/Apr/21 16:08,21/Apr/21 16:00,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Certficate renewal,SMXBID-2445,109447,Resolved,Trivial,Done,20/Apr/21 12:27,22/Apr/21 08:53,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Blacklisting the ISPs not reacting to Abuse Desk reports,SMXBID-2444,109435,Closed,Minor,Resolved,20/Apr/21 09:43,23/Sep/21 15:59,,,,,,,XBID SLA Reporting,yn731,XBID-ServiceDesk,,
Customer Service Request,Trader can not connect via API to cute XBID CMI..,SMXBID-2443,109398,Closed,Minor,,19/Apr/21 13:41,,,,,,,,Information Request,,XBID-ServiceDesk,,
Customer Service Request,SIDC - Joint SC - XBID SLA Reports for March 2021,SMXBID-2441,109220,Resolved,Minor,Done,14/Apr/21 16:25,11/Aug/21 09:22,,,,,,,XBID SLA Reporting,yn731,XBID-ServiceDesk,,
Customer Service Request,Need for new certificate,SMXBID-2440,109188,Resolved,Trivial,Done,14/Apr/21 10:45,16/Apr/21 09:09,,,,,,,New Account & Certificate Requests,mv635,XBID-ServiceDesk,,
Incident,TEST - DO NOT JOIN ICCC - new escalation settings for incident tickets,SMXBID-2439,109178,Closed,Major,Done,14/Apr/21 10:00,03/May/21 09:39,,,,,,, Minor Incident,ub113,Escalated,XBID-ServiceDesk,
Customer Service Request,SIDC - Joint SC - XBID SLA Reports for March are delayed.,SMXBID-2436,109020,Closed,Minor,Rejected,12/Apr/21 15:26,13/Apr/21 12:57,,,,,,,Information Request,yn731,XBID-ServiceDesk,,
Customer Service Request,PROD - SOB WebGUI - Reset Password for Admin user,SMXBID-2435,108990,Resolved,Minor,Rejected,12/Apr/21 12:42,12/Apr/21 13:27,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,Minor Support Request - JIRA - Account -SYSQA - User reset,SMXBID-2434,108989,Closed,Minor,Done,12/Apr/21 12:30,12/Apr/21 12:35,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,Request for new JIRA user,SMXBID-2433,108943,Resolved,Minor,Done,09/Apr/21 13:37,12/Apr/21 14:45,,,,,,,New Account & Certificate Requests,oh856,,,
Customer Service Request,New certificates,SMXBID-2432,108982,Resolved,Trivial,Done,12/Apr/21 10:50,12/Apr/21 16:26,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Expiring certificate,SMXBID-2431,108889,Resolved,Trivial,Done,08/Apr/21 14:12,09/Apr/21 14:07,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,Lack of reports in SOB WebGUI,SMXBID-2430,108818,Resolved,Minor,Resolved,07/Apr/21 10:00,14/Apr/21 13:39,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,Password expired without earlier info,SMXBID-2429,108708,Resolved,Minor,Rejected,04/Apr/21 18:32,06/Apr/21 08:38,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Incident,Local Trading System M7 disconnected from SOB,SMXBID-2428,108690,Closed,Minor,Not a Bug,02/Apr/21 17:45,06/Apr/21 09:00,,,,,,, Minor Incident,wn626,XBID-ServiceDesk,,
Customer Service Request,Bug/Problem – CMM - Account Access – RTE (TSO) – Locked CMM account,SMXBID-2427,108678,Resolved,Minor,Done,02/Apr/21 16:36,06/Apr/21 10:10,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,Account reset on Cute PX in CMM,SMXBID-2426,108563,Closed,Minor,Rejected,31/Mar/21 08:07,31/Mar/21 10:19,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,"MFG700  ""2.3 Request Access to sFTP Server"" Update   ",SMXBID-2425,108531,Closed,Minor,Done,30/Mar/21 13:44,17/Jun/21 13:15,,,,,,,Information Request,ub113,mfg700,XBID-ServiceDesk,
Customer Service Request,"XBID (PROD) Cert Request for (IMT, JIRA),(OTE)",SMXBID-2424,108527,Resolved,Trivial,Done,30/Mar/21 12:28,31/Mar/21 09:50,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Activity report for 29th January 2020,SMXBID-2423,108510,Resolved,Minor,Not a Bug,30/Mar/21 09:36,04/May/21 16:45,,,,,,,Information Request,yn731,XBID-ServiceDesk,,
Customer Service Request,Questions request limits of AMQP messages XBID ,SMXBID-2422,108491,Resolved,Minor,Done,29/Mar/21 14:54,14/Apr/21 12:40,,,,,,,Information Request,oh856,XBID-ServiceDesk,,
Customer Service Request,several AST users hav problem opening encrypted emails coming from XBID ,SMXBID-2421,108482,Closed,Trivial,Done,29/Mar/21 14:41,14/Apr/21 13:33,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,new account for Fabian Mulder ,SMXBID-2420,108439,Resolved,Trivial,Done,29/Mar/21 09:30,29/Mar/21 11:46,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request for CMM, Litgrid",SMXBID-2419,108374,Closed,Trivial,Resolved,25/Mar/21 14:52,26/Mar/21 08:47,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,SM / WebGUI / EMCO[NEMO] / Unable to resend files from SM GUI,SMXBID-2418,108319,Closed,Minor,Resolved,24/Mar/21 14:16,14/Apr/21 13:34,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,XBID CMM Certificate renewal SVK - only user XBSVK002,SMXBID-2417,108267,Resolved,Trivial,Done,23/Mar/21 16:32,24/Mar/21 08:55,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Incident,Minor Incident - SOB - webGUI - EPEX (NEMO) - Connection lost,SMXBID-2416,108191,Resolved,Minor,Not a Bug,22/Mar/21 10:29,23/Mar/21 11:35,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,SIDC - XBID PROD - R3.1 go-live ,SMXBID-2415,108155,Resolved,Minor,Done,19/Mar/21 15:56,28/Apr/21 18:10,,,,,,,Information Request,yn731,XBID-ServiceDesk,,
Customer Service Request,Account blocked for access to https://jira.deutsche-boerse.com,SMXBID-2412,108050,Resolved,Minor,Done,17/Mar/21 17:41,18/Mar/21 08:47,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,JIRA/user account locked,SMXBID-2411,107923,Closed,Minor,Done,15/Mar/21 13:52,15/Mar/21 16:19,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Incident,TEST sftp connection configuration ČEPS TSO,SMXBID-2410,107910,Closed,Minor,Rejected,15/Mar/21 11:41,15/Mar/21 11:59,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,JIRA account without access to SMXBID tickets,SMXBID-2409,107866,Closed,Trivial,Resolved,12/Mar/21 12:55,12/Mar/21 14:18,,,,,,,New Account & Certificate Requests,ub113,XBID-ServiceDesk,,
Customer Service Request,User certificate renewal,SMXBID-2408,107827,Resolved,Trivial,Done,11/Mar/21 10:51,12/Mar/21 09:01,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,SIDC - Joint SC - XBID SLA Reports for February 2021,SMXBID-2407,107808,Resolved,Minor,Done,10/Mar/21 19:59,23/Aug/21 15:31,,,,,,,XBID SLA Reporting,yn731,XBID-ServiceDesk,,
Incident,Minor Incident - XBID Server - XBID Disconnection - OMIE (NEMO),SMXBID-2406,107785,Closed,Minor,Not a Bug,10/Mar/21 14:04,23/Apr/21 15:32,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,APG User unblock,SMXBID-2405,107756,Resolved,Minor,Resolved,10/Mar/21 09:21,10/Mar/21 09:34,,,,,,,Password Reset & Account Unlock,tj898,XBID-ServiceDesk,,
Customer Service Request,Follow up on open topics from SMXBID-1957,SMXBID-2404,107738,Resolved,Minor,Done,09/Mar/21 16:30,29/Mar/21 11:09,,,,,,,Information Request,ub113,XBID-ServiceDesk,,
Customer Service Request,SFTP conection to CMM,SMXBID-2403,107711,Resolved,Minor,Rejected,09/Mar/21 11:49,15/Mar/21 11:20,,,,,,,Information Request,oh856,XBID-ServiceDesk,,
Customer Service Request,Service Request - IMT - JIRA - EPEX (NEMO) - Add XBID Service desk,SMXBID-2402,107618,Resolved,Trivial,Done,05/Mar/21 19:40,08/Mar/21 10:25,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,upload ACK files from TEL,SMXBID-2401,107551,Closed,Minor,Duplicate,05/Mar/21 09:33,05/Mar/21 10:22,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Incident,Minor - CMM - Post-allocation - Svk - SFTP - ACK files does NOT reach XBID,SMXBID-2400,107547,Closed,Minor,Resolved,05/Mar/21 08:58,12/Mar/21 09:14,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Incident,"Missing NSF-file 2.2.2021 at 19:03 from CMM production, ECP-channel.",SMXBID-2399,107537,Resolved,Minor,Resolved,04/Mar/21 16:54,08/Mar/21 16:59,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Problem,Clone ticket for RCA of SMXBID-2394,SMXBID-2398,107519,Resolved,Major,Resolved,04/Mar/21 13:28,18/Mar/21 11:47,,,,,,,Report a problem or bug,yn731,XBID-ServiceDesk,,
Customer Service Request,Password reset for Fingrid in CMM,SMXBID-2397,107485,Resolved,Minor,Rejected,04/Mar/21 08:57,04/Mar/21 14:45,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,Account unlock for JIRA user,SMXBID-2396,107433,Resolved,Minor,Done,03/Mar/21 11:36,03/Mar/21 12:17,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request, SM - Account Access – RTE (TSO) – Certificate generation,SMXBID-2393,107340,Resolved,Trivial,Done,01/Mar/21 12:42,05/Mar/21 16:22,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Bug/Problem – CMM - Account Access – RTE (TSO) – Locked CMM account,SMXBID-2392,107328,Resolved,Minor,Done,01/Mar/21 09:55,05/Mar/21 14:58,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,Bug/Problem - SM - Account Access – RTE (TSO) – Certificate generation,SMXBID-2391,107326,Resolved,Minor,Duplicate,01/Mar/21 09:33,01/Mar/21 12:51,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,Minor Incident - SOB - webGUI - EPEX (NEMO) - Connection lost,SMXBID-2390,107311,Closed,Minor,Resolved,27/Feb/21 23:37,16/Jun/21 10:50,,,,,,, Minor Incident,ub113,XBID-ServiceDesk,,
Problem,Bug/Problem – SM - Account Access – RTE (TSO) – unavailable link,SMXBID-2389,107271,Resolved,Minor,Resolved,26/Feb/21 14:25,01/Mar/21 13:07,,,,,,,Report a problem or bug,oh856,XBID-ServiceDesk,,
Customer Service Request,Bug/Problem – CMM - Account Access – RTE (TSO) – Locked CMM account,SMXBID-2388,107076,Resolved,Minor,Resolved,22/Feb/21 15:49,26/Feb/21 14:27,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Problem,RCA: 20/02/2021 XBID CORE DOWN,SMXBID-2387,107023,Closed,Minor,Resolved,20/Feb/21 10:28,10/May/21 17:24,,,,,,,Report a problem or bug,lw641,XBID-ServiceDesk,,
Customer Service Request,IC SMS & EMAIL invites - amendment,SMXBID-2383,106961,Closed,Minor,Done,18/Feb/21 15:12,18/Feb/21 16:50,,,,,,,AlarmTilt Requests,oh856,XBID-ServiceDesk,,
Problem,RCA: Crossed order book,SMXBID-2382,106958,Closed,Major,Not a Bug,18/Feb/21 13:38,03/May/21 11:09,,,,,,,Report a problem or bug,lw641,XBID-ServiceDesk,,
Customer Service Request,Service Request - IMT - JIRA - EPEX (NEMO) - Add XBID Service desk,SMXBID-2381,106956,Resolved,Trivial,Done,18/Feb/21 13:20,19/Feb/21 11:37,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,ICCC triggered on Feb 18th 2021 by mistake,SMXBID-2380,106931,Closed,Minor,Resolved,18/Feb/21 10:19,25/Feb/21 11:05,,,,,,, Minor Incident,lw641,XBID-ServiceDesk,,
Task,Fixing Netbackup issue for all cute and simu environment,SMXBID-2379,106929,Closed,Major,Duplicate,18/Feb/21 09:44,18/Feb/21 10:28,,,,,,,,iv732,XBID-ServiceDesk,,
Incident,"SOB - Webgui, Comtrader - EPEX (NEMO) - SOB Comtrader and Webgui not accessible",SMXBID-2378,106909,Closed,Major,Not a Bug,17/Feb/21 19:50,18/Mar/21 10:28,,,,,,, Major Incident,lw641,Escalated,Expiring_SLA,XBID-ServiceDesk
Customer Service Request,Unlock JIRA DBAG account,SMXBID-2376,106822,Closed,Minor,Resolved,16/Feb/21 15:06,29/Mar/21 10:37,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,IMT certificate for new users,SMXBID-2375,106790,Resolved,Trivial,Done,16/Feb/21 08:02,17/Feb/21 12:50,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Problem,File sending / reception in ICS,SMXBID-2374,106718,Closed,Minor,Rejected,12/Feb/21 12:40,12/Feb/21 13:12,,,,,,,Report a problem or bug,yn731,XBID-ServiceDesk,,
Customer Service Request,New certificates for user,SMXBID-2373,106694,Resolved,Trivial,Done,12/Feb/21 09:00,12/Feb/21 13:18,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,XBIB Shipping Module Production Enviroment  Change of Email certificate,SMXBID-2372,106690,Closed,Trivial,Resolved,12/Feb/21 08:24,12/Feb/21 13:25,,,,,,,Information Request,yn731,XBID-ServiceDesk,,
Customer Service Request,Passwordreset Shipping Module,SMXBID-2371,106671,Resolved,Minor,Rejected,11/Feb/21 14:34,11/Feb/21 15:53,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Incident,Cannot Download atcvalues report amp-apg for 1.1.21 ro 31.1.21,SMXBID-2370,106659,Closed,Minor,Not a Bug,11/Feb/21 11:12,18/Mar/21 10:26,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,XBID Prod: Certificate Request CMM Module TransnetBW,SMXBID-2369,106658,Resolved,Trivial,Done,11/Feb/21 11:05,11/Feb/21 13:44,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,XBID Prod: Certificate Request Shipping Module TransnetBW,SMXBID-2368,106657,Resolved,Trivial,Done,11/Feb/21 11:02,11/Feb/21 13:42,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Test ticket,SMXBID-2366,106640,Resolved,Minor,Rejected,10/Feb/21 18:16,10/Feb/21 18:17,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,SIDC - Joint SC - XBID SLA Reports for January 2021,SMXBID-2365,106585,Resolved,Minor,Done,10/Feb/21 16:30,11/Aug/21 09:21,,,,,,,XBID SLA Reporting,yn731,XBID-ServiceDesk,,
Problem,sftp Endpoint - problem,SMXBID-2364,106546,Closed,Minor,Duplicate,10/Feb/21 12:36,10/Feb/21 12:52,,,,,,,Report a problem or bug,ub113,XBID-ServiceDesk,,
Customer Service Request,Locked account in JIRA,SMXBID-2363,106545,Resolved,Minor,Resolved,10/Feb/21 12:15,10/Feb/21 12:46,,,,,,,Password Reset & Account Unlock,tj898,XBID-ServiceDesk,,
Incident,sftp Endpoint - problem,SMXBID-2362,106483,Closed,Minor,Resolved,09/Feb/21 16:23,11/Feb/21 13:58,,,,,,, Minor Incident,yn731,,,
Incident,Major Incident - SM - SFTP - EPEX (NEMO) - Files not put on SFTP,SMXBID-2361,106538,Resolved,Minor,Resolved,10/Feb/21 11:24,05/May/21 12:57,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,2 New User Explicit Participant for NIDHOG,SMXBID-2360,106503,Resolved,Trivial,Done,10/Feb/21 08:54,11/Feb/21 13:22,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,TTN - Replacement of existing JIRA/IMT Certificate,SMXBID-2359,106428,Resolved,Trivial,Done,09/Feb/21 08:31,09/Feb/21 14:47,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Removal of RTE representative account,SMXBID-2358,106350,Closed,Trivial,Resolved,05/Feb/21 18:27,29/Mar/21 10:37,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,Minor - ECP and CMM - TTN (TSO as DI)  - Acknowledgements not received by CMM,SMXBID-2357,106326,Closed,Minor,Not a Bug,05/Feb/21 11:00,05/Feb/21 13:24,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,Password reset CMM Prod,SMXBID-2356,106310,Resolved,Minor,Rejected,05/Feb/21 09:05,05/Feb/21 09:14,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Customer Service Request,Certificate requests for new accounts,SMXBID-2355,106302,Resolved,Trivial,Done,04/Feb/21 16:34,08/Feb/21 12:48,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"XBID PROD Cert Request, SOB, BSP",SMXBID-2353,106286,Resolved,Trivial,Done,04/Feb/21 13:51,08/Feb/21 11:41,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Provision of PROD release notes after SMXBID-1949 and 1989 fixes deployed,SMXBID-2352,106285,Closed,Minor,Resolved,04/Feb/21 13:47,29/Mar/21 10:37,,,,,,,Information Request,yn731,XBID-ServiceDesk,,
Customer Service Request,new certificate for Jean-Michel Reghem,SMXBID-2351,106190,Resolved,Trivial,Done,03/Feb/21 08:36,08/Feb/21 10:40,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"IBEX SOB, SM Prod cert request ",SMXBID-2350,106128,Resolved,Trivial,Done,01/Feb/21 20:13,02/Feb/21 15:46,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
Customer Service Request,User certificates CMM/SM,SMXBID-2349,106045,Resolved,Trivial,Done,01/Feb/21 08:16,02/Feb/21 14:46,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident,Critical error occurred while connecting to the shipping module via the primary channel,SMXBID-2348,106041,Resolved,Minor,Not a Bug,30/Jan/21 01:25,19/Feb/21 08:52,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Incident,"PMI, SOB / Local view update / EMCO[NEMO] / PblcOrdrBooksReq rejected ",SMXBID-2346,105802,Closed,Minor,Fixed,26/Jan/21 15:27,04/May/21 16:40,,,,,,, Minor Incident,yn731,XBID-ServiceDesk,,
Customer Service Request,JIRA/IMT scheduled maintenance.,SMXBID-2345,105801,Closed,Minor,Done,26/Jan/21 15:22,12/Feb/21 11:51,,,,,,,XBID Service Desk (IMT) Questions & Issues,yn731,XBID-ServiceDesk,,
Customer Service Request,Service Request - SM - SFTP - EPEX (NEMO) - Whitelist IP address,SMXBID-2344,105792,Resolved,Trivial,Rejected,26/Jan/21 14:36,27/Jan/21 11:49,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,OMIE JIRA/IMT certificates renewal,SMXBID-2343,105769,Closed,Trivial,Done,26/Jan/21 09:15,27/Jan/21 09:28,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,new account for Matthias Csernak,SMXBID-2342,105707,Resolved,Trivial,Done,25/Jan/21 09:47,26/Jan/21 14:47,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Urgent - SSL certificate request for Martin Vencelik for IMT JIRA,SMXBID-2341,105706,Closed,Minor,Resolved,25/Jan/21 09:40,29/Mar/21 10:37,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Incident, PROD OTE Exchange user - Primary Data Centre unavailability,SMXBID-2339,105688,Closed,Minor,Duplicate,24/Jan/21 17:54,11/Feb/21 14:03,,,,,,, Minor Incident,oh856,XBID-ServiceDesk,,
Customer Service Request,Password reset for Explicit Participant,SMXBID-2338,105687,Closed,Minor,Not a Bug,24/Jan/21 13:49,28/Jan/21 10:44,,,,,,,Password Reset & Account Unlock,yn731,XBID-ServiceDesk,,
Incident,SFTP (Hausen) and Webservice not available ,SMXBID-2337,105671,Closed,Minor,Resolved,23/Jan/21 11:15,25/Jan/21 08:36,,,,,,, Minor Incident,ub113,XBID-ServiceDesk,,
Customer Service Request,"XBID Cert Request for SOB and SM, EPEX",SMXBID-2336,105662,Resolved,Trivial,Done,22/Jan/21 14:45,25/Jan/21 14:24,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,Updated certificates for CMM,SMXBID-2335,105575,Closed,Trivial,Done,21/Jan/21 12:07,22/Jan/21 10:03,,,,,,,New Account & Certificate Requests,oh856,XBID-ServiceDesk,,
Customer Service Request,"Can't access SERVICE tickets, (EPEXMT ones access is OK)",SMXBID-2334,105560,Closed,Minor,Rejected,21/Jan/21 10:28,21/Jan/21 13:27,,,,,,,Password Reset & Account Unlock,oh856,XBID-ServiceDesk,,
Customer Service Request,SHC and SXS - business date 21.12.2020,SMXBID-2333,105559,Resolved,Minor,Done,21/Jan/21 10:20,29/Jan/21 13:35,,,,,,,Request for Historical or Archival Data,oh856,XBID-ServiceDesk,,
Incident,CLONE - Major Incident - SOB - Invalid trades to be cancelled - EPEX,SMXBID-2332,105482,Closed,Major,Rejected,20/Jan/21 12:11,20/Jan/21 12:15,,,,,,, Major Incident,yn731,XBID-ServiceDesk,,
Incident,Major Incident - SOB - Invalid trades to be cancelled - EPEX,SMXBID-2331,105468,Closed,Major,Resolved,20/Jan/21 10:19,22/Jan/21 08:48,,,,,,, Major Incident,yn731,Expiring_SLA,XBID-ServiceDesk,
Customer Service Request,Expiration certificates SM prod,SMXBID-2330,105419,Resolved,Trivial,Done,19/Jan/21 10:01,19/Jan/21 15:12,,,,,,,New Account & Certificate Requests,yn731,XBID-ServiceDesk,,
