region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
Zone 1,22,33,Unmarried,9,54,Did not complete high school,10,No,Male,1,Yes,No,Yes,No,11.05,22.25,0,18.75,0,246.7,504.4,0,370,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.40243042796376,3.10234200861225, ,2.93119375241642, ,3.98898404656427,Plus service,No
Zone 1,28,40,Married,1,47,High school degree,9,No,Female,3,Yes,No,Yes,No,8.1,29.5,0,28.5,0,224.25,774.75,0,730,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.09186406167839,3.38439026334577, ,3.3499040872746, ,3.85014760171006,Plus service,No
Zone 1,71,47,Married,23,142,Did not complete high school,30,No,Male,2,No,No,Yes,No,32.2,0,0,82.25,0,2237.35,0,0,5520,0,Yes,No,No,No,No,No,No,No,No,3.47196645255036, , ,4.40976338964548, ,4.95582705760126,E-service,No
Zone 2,7,37,Unmarried,5,57,College degree,1,No,Male,1,No,No,No,No,3.8,0,0,0,0,23.9,0,0,0,0,No,No,No,No,No,No,No,Yes,No,1.33500106673234, , , , ,4.04305126783455,Basic service,No
Zone 1,63,29,Unmarried,10,20,Some college,7,No,Male,2,Yes,Yes,Yes,Yes,13.3,31,62.35,10,96.25,867.9,1944.45,3778.75,640,6132.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.58776403522771,3.43398720448515,4.13276367212605,2.30258509299405,4.56694897316789,2.99573227355399,Total service,No
Zone 2,53,57,Unmarried,25,37,Did not complete high school,7,No,Male,1,No,No,Yes,No,7.7,0,0,9.25,0,363.95,0,0,465,0,Yes,No,No,No,No,No,Yes,No,No,2.04122032885964, , ,2.22462355152433, ,3.61091791264422,E-service,No
Zone 2,50,52,Married,17,36,College degree,16,No,Male,4,Yes,No,Yes,Yes,11.95,55,0,48,85.85,616.25,2662.1,0,2330,4118.6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.48073127837752,4.00733318523247, ,3.87120101090789,4.45260158734348,3.58351893845611,Total service,No
Zone 2,39,31,Married,6,24,College degree,2,No,Male,2,No,Yes,Yes,No,13.9,0,33.3,16.5,0,505.55,0,1213.5,600,0,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2.63188884013665, ,3.5055573969864,2.80336038090653, ,3.17805383034795,Total service,No
Zone 3,16,19,Unmarried,0,21,High school degree,0,No,Female,1,No,No,No,No,5.25,0,0,0,0,70.25,0,0,0,0,No,No,No,No,No,Yes,No,No,No,1.65822807660353, , , , ,3.04452243772342,Basic service,No
Zone 3,43,51,Married,15,186,Some college,25,No,Male,2,Yes,No,Yes,Yes,18.9,59.75,0,20.25,59.15,856.3,2522.95,0,885,2525.1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.9391619220656,4.09016919081162, ,3.00815479355255,4.0800765904244,5.2257466737132,Total service,No
Zone 3,44,31,Unmarried,12,30,Did not complete high school,7,No,Female,3,No,No,Yes,No,8,0,0,13,0,317.9,0,0,530,0,No,No,No,No,No,No,No,No,No,2.07944154167984, , ,2.56494935746154, ,3.40119738166216,Basic service,No
Zone 2,72,66,Married,43,96,High school degree,16,No,Female,2,Yes,No,Yes,Yes,35.15,34.75,0,21.5,50.7,2537.65,2557.75,0,1440,3571.45,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3.55962461825667,3.5481795720108, ,3.06805293513362,3.92592591059714,4.56434819146784,Total service,No
Zone 3,61,76,Unmarried,39,15,Did not complete high school,29,Yes,Male,1,Yes,No,Yes,No,18.6,52.75,0,24,0,1168.45,3257.7,0,1415,0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,2.92316158071916,3.96556377235618, ,3.17805383034795, ,2.70805020110221,Plus service,No
Zone 3,43,21,Married,1,25,Did not complete high school,4,No,Male,4,No,No,No,No,7.6,0,0,0,0,334.45,0,0,0,0,Yes,No,No,Yes,No,No,Yes,Yes,No,2.02814824729229, , , , ,3.2188758248682,E-service,Yes
Zone 3,24,39,Unmarried,11,49,Some college,7,No,Female,1,No,Yes,No,No,7.45,0,30.9,0,0,177.2,0,657.25,0,0,No,No,No,Yes,No,No,No,No,No,2.00821403239147, ,3.4307561839037, , ,3.89182029811063,Basic service,No
Zone 3,64,45,Unmarried,4,38,High school degree,7,No,Female,1,Yes,No,Yes,No,13.75,22.75,0,10.25,0,918,1447.4,0,610,0,Yes,Yes,No,No,Yes,No,Yes,Yes,No,2.62103882411258,3.12456514539696, ,2.32727770558442, ,3.63758615972639,Plus service,Yes
Zone 2,64,38,Unmarried,0,29,High school degree,2,No,Male,2,Yes,No,Yes,No,17.5,15.5,0,16.75,0,1114.45,1141.55,0,1010,0,Yes,No,No,No,No,No,No,No,No,2.86220088092947,2.7408400239252, ,2.81839825827108, ,3.36729582998647,E-service,No
Zone 1,24,26,Unmarried,7,55,High school degree,7,No,Female,1,No,No,No,No,7.6,0,0,0,0,175.8,0,0,0,0,No,No,No,No,No,Yes,No,No,No,2.02814824729229, , , , ,4.00733318523247,Basic service,No
Zone 3,33,55,Married,21,64,Some college,10,No,Female,3,Yes,No,Yes,No,5.15,14.5,0,24.75,0,163.05,494.55,0,775,0,No,No,No,No,No,No,Yes,Yes,No,1.63899671467564,2.67414864942653, ,3.2088254890147, ,4.15888308335967,Basic service,No
Zone 2,33,33,Married,12,42,College degree,7,No,Female,5,No,Yes,Yes,Yes,8.8,0,30.95,23,23.35,305.75,0,1019.15,730,665.35,Yes,Yes,No,No,No,No,No,No,No,2.17475172148416, ,3.4323729991306,3.13549421592915,3.15059698411491,3.73766961828337,E-service,No
Zone 1,2,40,Unmarried,9,134,College degree,2,No,Male,1,No,Yes,No,No,3.9,0,23.8,0,0,4.6,0,26.45,0,0,No,No,No,Yes,No,No,No,No,Yes,1.3609765531356, ,3.16968558067743, , ,4.89783979995091,Basic service,No
Zone 2,42,48,Married,22,82,Did not complete high school,21,No,Female,5,Yes,No,Yes,No,9.3,25,0,17,0,459,1006.9,0,750,0,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,2.23001440015921,3.2188758248682, ,2.83321334405622, ,4.40671924726425,Total service,No
Zone 1,52,54,Married,5,153,Post-undergraduate degree,10,No,Male,2,No,Yes,No,Yes,11.05,0,36.3,0,30.15,555.85,0,1816.65,0,1525.15,Yes,Yes,No,Yes,Yes,No,No,No,Yes,2.40243042796376, ,3.5918177412708, ,3.40618492317319,5.03043792139244,E-service,Yes
Zone 1,45,66,Unmarried,43,144,High school degree,13,No,Female,1,No,No,Yes,No,7.75,0,0,13,0,338.8,0,0,565,0,Yes,No,No,Yes,No,No,No,No,No,2.04769284336526, , ,2.56494935746154, ,4.969813299576,E-service,No
Zone 3,3,25,Unmarried,4,22,College degree,0,No,Male,2,No,Yes,Yes,No,2.85,0,28.25,19.5,0,7.5,0,48,30,0,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1.04731899428056, ,3.34109345759245,2.9704144655697, ,3.09104245335832,Total service,Yes
Zone 2,37,53,Married,16,35,Did not complete high school,16,No,Female,4,No,No,No,No,21.3,0,0,0,0,788.25,0,0,0,0,No,No,No,No,No,Yes,Yes,No,No,3.05870707271538, , , , ,3.55534806148941,Plus service,No
Zone 2,28,57,Unmarried,33,82,College degree,22,No,Female,1,No,Yes,No,No,4.05,0,31.45,0,0,71.5,0,858.15,0,0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1.39871688111845, ,3.44839898314645, , ,4.40671924726425,E-service,Yes
Zone 3,40,63,Married,9,61,Did not complete high school,22,No,Male,2,No,No,Yes,No,10.9,0,0,41,0,470.9,0,0,1635,0,No,No,No,No,No,No,No,No,No,2.3887627892351, , ,3.71357206670431, ,4.11087386417331,Basic service,No
Zone 2,37,33,Unmarried,1,102,High school degree,12,No,Male,1,No,Yes,Yes,Yes,16.3,0,33.35,10.25,37.9,646.7,0,1108.05,360,1330.6,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,2.79116510781272, ,3.50705777236163,2.32727770558442,3.63495111208838,4.62497281328427,Total service,No
Zone 3,7,27,Unmarried,5,31,Some college,4,No,Male,5,Yes,Yes,No,Yes,4.15,15,46.05,0,41.85,30.8,96.6,271.75,0,235.55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1.42310833424261,2.70805020110221,3.82972776270132, ,3.73409179693548,3.43398720448515,Total service,Yes
Zone 1,71,56,Unmarried,23,170,Did not complete high school,30,No,Female,1,Yes,No,Yes,No,14.2,27,0,30,0,1001.2,1840.65,0,2140,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2.65324196460721,3.29583686600433, ,3.40119738166216, ,5.13579843705026,Total service,No
Zone 2,19,46,Unmarried,11,26,High school degree,0,No,Female,1,No,No,Yes,No,6.05,0,0,5,0,121.7,0,0,90,0,No,No,No,Yes,No,Yes,No,Yes,Yes,1.80005827204275, , ,1.6094379124341, ,3.25809653802148,Basic service,No
Zone 2,61,40,Unmarried,15,85,Some college,15,No,Female,1,Yes,No,Yes,No,13.65,29.25,0,22.75,0,831.15,1823.6,0,1310,0,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,2.61373952163097,3.37587957367787, ,3.12456514539696, ,4.44265125649032,Plus service,No
Zone 3,70,53,Married,16,183,High school degree,35,No,Female,2,No,No,Yes,No,32.9,0,0,15,0,2234.9,0,0,1085,0,Yes,No,No,No,No,No,No,No,No,3.49347265777133, , ,2.70805020110221, ,5.20948615284142,E-service,No
Zone 2,60,55,Married,13,67,Did not complete high school,18,No,Female,2,No,No,Yes,No,10.75,0,0,14.75,0,697.7,0,0,925,0,No,No,No,No,No,No,No,No,No,2.37490575457367, , ,2.69124308278583, ,4.20469261939097,Basic service,No
Zone 3,48,45,Married,5,42,Did not complete high school,11,No,Female,2,No,No,No,No,9.25,0,0,0,0,435.6,0,0,0,0,No,No,No,No,No,Yes,No,No,No,2.22462355152433, , , , ,3.73766961828337,Basic service,No
Zone 1,8,63,Married,1,31,Did not complete high school,9,No,Male,2,Yes,No,Yes,No,2.25,13.75,0,11.25,0,16.8,102.55,0,80,0,No,No,No,No,Yes,No,Yes,Yes,No,.810930216216329,2.62103882411258, ,2.42036812865043, ,3.43398720448515,Plus service,No
Zone 2,58,58,Married,10,96,High school degree,17,No,Male,4,Yes,No,No,No,12.5,23,0,0,0,710.8,1345.95,0,0,0,Yes,No,No,No,Yes,Yes,No,Yes,No,2.52572864430826,3.13549421592915, , , ,4.56434819146784,Plus service,No
Zone 1,16,24,Married,5,24,Some college,2,No,Male,5,No,No,Yes,No,9.4,0,0,14.75,0,124.2,0,0,215,0,No,No,No,No,Yes,Yes,Yes,No,No,2.24070968927596, , ,2.69124308278583, ,3.17805383034795,Plus service,No
Zone 2,33,33,Unmarried,4,53,High school degree,14,No,Female,1,No,No,No,No,5.05,0,0,0,0,145.85,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.61938824328727, , , , ,3.97029191355212,Basic service,No
Zone 2,39,25,Unmarried,4,18,Did not complete high school,0,No,Female,1,No,No,No,No,6.75,0,0,0,0,242.7,0,0,0,0,Yes,No,No,No,Yes,Yes,No,Yes,No,1.90954250488444, , , , ,2.89037175789616,Plus service,No
Zone 1,62,51,Unmarried,10,43,College degree,19,No,Male,2,No,Yes,Yes,Yes,27.15,0,42.7,17,41.15,1632.4,0,2583.85,1015,2521.05,Yes,No,Yes,Yes,Yes,No,No,No,Yes,3.30137704637994, ,3.75419892023458,2.83321334405622,3.71722392712308,3.76120011569356,E-service,No
Zone 1,50,34,Unmarried,10,104,Some college,9,No,Male,1,Yes,Yes,Yes,Yes,27.5,21.75,52.1,20.25,47.9,1444.45,1219.55,2568.4,960,2368.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.31418600467253,3.07961375753469,3.95316494875932,3.00815479355255,3.86911550441687,4.64439089914137,Total service,No
Zone 2,48,55,Unmarried,31,26,Did not complete high school,1,No,Male,1,No,No,No,No,12.15,0,0,0,0,606.1,0,0,0,0,No,No,No,No,No,No,No,No,No,2.49732916978656, , , , ,3.25809653802148,Basic service,No
Zone 3,31,62,Unmarried,5,56,High school degree,26,No,Female,1,Yes,No,Yes,No,4.3,22.25,0,13.75,0,123.5,744.45,0,435,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.45861502269952,3.10234200861225, ,2.62103882411258, ,4.02535169073515,Plus service,No
Zone 2,65,33,Married,9,49,High school degree,6,No,Male,5,Yes,No,Yes,No,42.9,17.25,0,17.5,0,2706.8,1094.1,0,1190,0,Yes,No,No,No,No,No,Yes,No,No,3.75887182593397,2.84781214347737, ,2.86220088092947, ,3.89182029811063,E-service,No
Zone 1,36,58,Unmarried,34,80,Did not complete high school,21,No,Female,1,No,No,Yes,No,8.5,0,0,8.5,0,298.25,0,0,260,0,Yes,No,No,No,No,Yes,No,No,No,2.14006616349627, , ,2.14006616349627, ,4.38202663467388,E-service,No
Zone 1,61,46,Unmarried,5,318,Some college,18,No,Female,1,Yes,No,Yes,No,28.9,39.25,0,84.75,0,1796.7,2442.75,0,5115,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.36384159511839,3.66995144422842, ,4.43970574626056, ,5.76205138278018,Plus service,No
Zone 2,48,42,Unmarried,21,35,College degree,5,No,Male,1,No,No,No,No,12.9,0,0,0,0,589.35,0,0,0,0,Yes,No,No,No,No,Yes,Yes,No,No,2.55722731136763, , , , ,3.55534806148941,Plus service,No
Zone 3,35,45,Unmarried,17,29,Did not complete high school,6,No,Male,1,No,No,No,No,8.4,0,0,0,0,300.35,0,0,0,0,No,No,No,No,No,No,Yes,No,No,2.12823170584927, , , , ,3.36729582998647,Basic service,No
Zone 1,51,28,Unmarried,8,43,Post-undergraduate degree,1,No,Male,5,Yes,Yes,Yes,Yes,11.15,35,77.7,20,80.35,623,1920.5,3925.5,955,4059.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.41143949790613,3.55534806148941,4.3528552573736,2.99573227355399,4.38639209218352,3.76120011569356,Total service,No
Zone 2,49,51,Married,5,80,Post-undergraduate degree,3,No,Male,2,No,Yes,Yes,Yes,5.75,0,51.75,36,36.7,285.4,0,2435.35,1810,1679.45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.74919985480926, ,3.94642443214548,3.58351893845611,3.60277675506052,4.38202663467388,Total service,Yes
Zone 1,35,39,Married,11,30,Some college,2,No,Female,3,Yes,No,No,No,6.85,27.75,0,0,0,224.85,929.95,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,1.92424865227413,3.32323584019244, , , ,3.40119738166216,Plus service,Yes
Zone 1,58,70,Unmarried,2,9,Some college,24,Yes,Female,1,No,Yes,Yes,Yes,23.3,0,48.35,29.75,35.15,1384.45,0,2632.4,1730,1975.7,Yes,No,No,Yes,No,No,No,Yes,No,3.14845336057165, ,3.8784662218993,3.39282913199164,3.55962461825667,2.19722457733622,E-service,No
Zone 1,23,35,Married,0,23,High school degree,1,No,Male,5,No,No,No,No,6.7,0,0,0,0,153.9,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,1.90210752639692, , , , ,3.13549421592915,Plus service,No
Zone 2,26,39,Married,15,58,College degree,9,No,Female,2,Yes,No,Yes,Yes,8.65,21.25,0,6.5,19.65,210.6,567.55,0,145,493.85,No,No,No,Yes,Yes,No,Yes,Yes,No,2.15755932094379,3.05635689537043, ,1.87180217690159,2.97807733831527,4.06044301054642,Plus service,No
Zone 1,38,37,Married,1,52,Did not complete high school,20,No,Female,4,Yes,No,Yes,Yes,12.2,41.5,0,18.75,54.4,532.55,1686.3,0,705,2051.1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.50143595173921,3.72569342723665, ,2.93119375241642,3.9963641538619,3.95124371858143,Total service,No
Zone 1,35,66,Married,44,14,Some college,12,Yes,Female,2,Yes,No,No,No,4.7,31,0,0,0,202.5,1135,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.54756250871601,3.43398720448515, , , ,2.63905732961526,Plus service,No
Zone 2,37,50,Unmarried,9,110,High school degree,21,No,Female,1,Yes,No,Yes,No,9.65,28.5,0,11.25,0,364.05,992.4,0,375,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.26695791535089,3.3499040872746, ,2.42036812865043, ,4.70048036579242,Plus service,No
Zone 2,48,43,Married,1,60,High school degree,12,No,Male,2,Yes,Yes,Yes,No,15.5,19.25,29.6,31.5,0,719.7,905.15,1500.75,1495,0,Yes,No,No,No,No,Yes,No,No,No,2.7408400239252,2.95751106073379,3.38777436133001,3.44998754583159, ,4.0943445622221,E-service,No
Zone 3,13,43,Married,1,123,Some college,21,No,Male,5,Yes,Yes,Yes,No,3.85,23,33.05,6.75,0,55.05,317.5,439.3,75,0,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,1.34807314829969,3.13549421592915,3.4980215662977,1.90954250488444, ,4.81218435537242,Total service,No
Zone 1,72,63,Married,29,15,Post-undergraduate degree,31,Yes,Male,2,No,No,Yes,No,20.6,0,0,31.25,0,1547.45,0,0,2180,0,Yes,No,No,No,No,No,Yes,Yes,No,3.02529107579554, , ,3.44201937618241, ,2.70805020110221,Plus service,No
Zone 1,30,27,Unmarried,4,47,College degree,2,No,Female,2,No,No,Yes,No,10.75,0,0,21.25,0,296.9,0,0,600,0,Yes,No,No,Yes,No,No,No,No,No,2.37490575457367, , ,3.05635689537043, ,3.85014760171006,E-service,Yes
Zone 1,24,43,Unmarried,14,138,College degree,11,No,Female,1,Yes,No,Yes,Yes,6.65,20.25,0,8,24.65,130.6,445.6,0,180,551.15,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1.89461685466776,3.00815479355255, ,2.07944154167984,3.2047769004887,4.92725368515721,Plus service,No
Zone 2,25,51,Married,20,359,Some college,29,No,Male,2,Yes,Yes,Yes,Yes,5.75,27.5,39.2,40.5,21.4,163.75,676.15,881.45,975,475.55,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.74919985480926,3.31418600467253,3.66867674679642,3.70130197411249,3.06339092202781,5.88332238848828,Total service,No
Zone 2,50,52,Unmarried,30,214,Some college,22,No,Male,1,Yes,Yes,Yes,Yes,11.5,26.25,40.7,12,48.3,610.35,1287.7,1943,530,2412.75,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2.4423470353692,3.26766598903763,3.70622809244855,2.484906649788,3.87743156065853,5.36597601502185,Total service,No
Zone 2,28,40,Unmarried,7,64,Did not complete high school,19,No,Male,1,Yes,No,No,No,6,27.5,0,0,0,167.65,722.5,0,0,0,No,No,No,No,Yes,No,No,Yes,No,1.79175946922805,3.31418600467253, , , ,4.15888308335967,Plus service,No
Zone 3,34,51,Unmarried,8,50,College degree,14,No,Male,1,No,No,Yes,No,16.15,0,0,15.75,0,531.35,0,0,480,0,No,Yes,No,No,No,No,No,No,Yes,2.78192004966867, , ,2.75684036527164, ,3.91202300542815,Basic service,No
Zone 1,48,32,Unmarried,2,88,Some college,9,No,Male,1,Yes,No,Yes,Yes,6.15,33.75,0,29.75,44.75,307.65,1603.8,0,1390,2119.35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1.81645208181843,3.51898041731854, ,3.39282913199164,3.80109144472086,4.47733681447821,Total service,No
Zone 2,42,36,Married,8,86,High school degree,15,No,Female,2,No,Yes,No,No,9.8,0,30.6,0,0,436.45,0,1222.3,0,0,Yes,No,No,No,No,No,No,No,No,2.28238238567653, ,3.42100000895834, , ,4.45434729625351,E-service,No
Zone 3,67,65,Married,30,17,Did not complete high school,29,Yes,Female,2,Yes,No,Yes,No,21.7,26.25,0,12,0,1384.05,1721.25,0,785,0,Yes,No,No,No,Yes,No,Yes,No,No,3.07731226054641,3.26766598903763, ,2.484906649788, ,2.83321334405622,Plus service,No
Zone 1,17,41,Married,7,25,High school degree,17,No,Male,3,No,Yes,No,No,6.45,0,29,0,0,114.3,0,449.95,0,0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,1.86408013080768, ,3.36729582998647, , ,3.2188758248682,Plus service,No
Zone 1,29,38,Married,19,46,High school degree,6,No,Male,2,No,Yes,No,No,8.35,0,22.95,0,0,248.6,0,584.9,0,0,Yes,No,No,No,No,No,No,No,Yes,2.12226153886276, ,3.13331793650655, , ,3.8286413964891,E-service,No
Zone 3,66,61,Unmarried,26,361,Did not complete high school,40,No,Female,1,No,No,Yes,No,12.75,0,0,38.5,0,782,0,0,2615,0,Yes,No,No,No,No,No,No,Yes,No,2.54553127160444, , ,3.65065824129374, ,5.88887795833288,E-service,No
Zone 2,1,21,Unmarried,1,18,Some college,0,No,Female,1,No,Yes,No,No,2.7,0,32.7,0,0,2.7,0,32.7,0,0,No,No,No,Yes,No,No,No,Yes,Yes,.993251773010283, ,3.48737507790321, , ,2.89037175789616,Basic service,Yes
Zone 1,28,33,Married,3,14,College degree,1,No,Male,3,Yes,Yes,No,Yes,4.55,15.75,33,0,23.95,145.95,504.9,869.85,0,618.65,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,1.51512723296286,2.75684036527164,3.49650756146648, ,3.17596832385692,2.63905732961526,Total service,Yes
Zone 1,15,35,Married,5,34,Some college,8,No,Male,2,No,Yes,No,No,5.15,0,25.55,0,0,110.55,0,350.25,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.63899671467564, ,3.24063731664971, , ,3.52636052461616,E-service,Yes
Zone 2,12,64,Unmarried,13,9,High school degree,6,Yes,Female,1,Yes,Yes,Yes,No,3.8,30,32.8,8.5,0,52.85,317.75,376.6,95,0,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.33500106673234,3.40119738166216,3.4904285153901,2.14006616349627, ,2.19722457733622,Plus service,No
Zone 3,48,49,Unmarried,18,39,High school degree,5,No,Female,1,Yes,Yes,Yes,Yes,7,24.5,42.8,23.5,30.75,399.75,1229.6,2099.35,1140,1394.5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.94591014905531,3.19867311755068,3.75653810258775,3.15700042115011,3.42588999425253,3.66356164612965,Total service,Yes
Zone 2,59,25,Married,4,18,Some college,2,No,Male,4,No,Yes,Yes,No,20.1,0,32.55,22.75,0,1251.4,0,1882.65,1415,0,No,No,No,No,No,No,No,No,No,3.00071981506503, ,3.48277736865458,3.12456514539696, ,2.89037175789616,Basic service,No
Zone 3,8,26,Married,1,25,College degree,1,No,Male,2,No,Yes,No,No,3.15,0,20.05,0,0,29.9,0,138.4,0,0,No,No,No,Yes,No,No,No,No,Yes,1.14740245283754, ,2.99822915375258, , ,3.2188758248682,Basic service,Yes
Zone 1,45,52,Unmarried,15,46,Post-undergraduate degree,8,No,Female,1,No,No,Yes,No,9.4,0,0,8.75,0,402.1,0,0,395,0,Yes,No,No,No,No,No,No,No,Yes,2.24070968927596, , ,2.16905370036952, ,3.8286413964891,E-service,Yes
Zone 1,25,39,Married,8,94,College degree,11,No,Female,4,No,Yes,No,No,3.95,0,30.75,0,0,95.2,0,681.2,0,0,Yes,No,No,No,No,No,No,No,No,1.37371557891303, ,3.42588999425253, , ,4.54329478227,E-service,Yes
Zone 1,21,44,Married,4,26,Some college,2,No,Male,2,Yes,Yes,Yes,Yes,7.55,41,42.35,23.5,35.75,160.65,863.3,890.75,485,702.95,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.02154756326093,3.71357206670431,3.74596842109806,3.15700042115011,3.57655026914002,3.25809653802148,Total service,No
Zone 2,17,68,Married,1,335,Did not complete high school,35,No,Female,3,Yes,No,Yes,Yes,3.55,18.75,0,29.25,27.9,70.25,285.9,0,525,422.85,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.26694760348732,2.93119375241642, ,3.37587957367787,3.32862668882732,5.81413053182507,Total service,No
Zone 2,41,45,Unmarried,14,25,Some college,6,No,Male,1,No,Yes,Yes,Yes,7.8,0,42.4,14,23.2,370.8,0,1675.7,535,945.3,No,No,No,Yes,No,No,Yes,Yes,Yes,2.05412373369555, ,3.74714836223791,2.63905732961526,3.14415227867226,3.2188758248682,Basic service,Yes
Zone 1,13,45,Married,3,99,Some college,8,No,Female,2,No,No,Yes,No,8.7,0,0,23.75,0,103.4,0,0,240,0,No,Yes,No,Yes,Yes,No,Yes,No,No,2.16332302566054, , ,3.16758253048065, ,4.59511985013459,Plus service,Yes
Zone 2,1,26,Married,3,30,High school degree,7,No,Female,5,No,Yes,No,No,1.05,0,15.4,0,0,1.05,0,15.4,0,0,No,No,No,No,No,No,No,No,Yes,.048790164169432, ,2.73436750941958, , ,3.40119738166216,Basic service,Yes
Zone 3,3,31,Married,4,35,High school degree,2,No,Female,3,Yes,Yes,No,Yes,4.35,12.75,34.05,0,21.5,11,30.2,75.3,0,28.5,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1.47017584510059,2.54553127160444,3.52783003259552, ,3.06805293513362,3.55534806148941,Total service,Yes
Zone 1,23,27,Married,2,51,Post-undergraduate degree,1,No,Female,2,No,Yes,No,No,3.9,0,24.15,0,0,94.95,0,574.35,0,0,No,Yes,No,No,No,No,No,No,No,1.3609765531356, ,3.18428438009858, , ,3.93182563272433,Basic service,Yes
Zone 3,26,42,Unmarried,20,49,Some college,13,No,Male,1,Yes,Yes,Yes,Yes,3.5,25,43.65,24.5,27.7,82.3,638.1,1054.4,625,633.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.25276296849537,3.2188758248682,3.77620328228561,3.19867311755068,3.32143241319329,3.89182029811063,Total service,Yes
Zone 1,37,51,Married,15,54,Did not complete high school,15,No,Male,3,Yes,No,Yes,No,9.55,16.5,0,8.25,0,323.65,614.15,0,225,0,Yes,No,No,No,No,Yes,No,Yes,No,2.25654115449264,2.80336038090653, ,2.11021320034659, ,3.98898404656427,Plus service,No
Zone 3,5,30,Unmarried,3,46,College degree,7,No,Male,1,No,Yes,No,No,4.3,0,32.1,0,0,17.55,0,121.55,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.45861502269952, ,3.46885603013597, , ,3.8286413964891,E-service,Yes
Zone 1,32,27,Married,3,91,College degree,1,No,Female,3,Yes,Yes,Yes,Yes,5.5,16,42.65,3.75,41.3,189.05,543.15,1247.3,100,1269.1,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1.70474809223843,2.77258872223978,3.75302727393769,1.32175583998232,3.72086249996699,4.51085950651685,Total service,Yes
Zone 3,12,22,Unmarried,1,23,College degree,0,No,Male,2,No,No,No,No,4.05,0,0,0,0,33.75,0,0,0,0,No,No,No,No,No,No,Yes,No,No,1.39871688111845, , , , ,3.13549421592915,Basic service,No
Zone 1,72,54,Married,6,345,Did not complete high school,32,No,Male,2,No,No,Yes,No,75.45,0,0,18.25,0,5464.6,0,0,1305,0,Yes,No,No,No,No,Yes,No,Yes,No,4.32347018521386, , ,2.9041650800285, ,5.84354441703136,Plus service,No
Zone 3,3,25,Married,2,45,College degree,0,No,Female,2,Yes,Yes,No,No,3,15.75,31.15,0,0,9.15,53.05,87.6,0,0,No,No,No,Yes,No,No,No,No,Yes,1.09861228866811,2.75684036527164,3.43881424523346, , ,3.80666248977032,Basic service,Yes
Zone 1,54,43,Unmarried,12,53,High school degree,12,No,Male,1,Yes,No,Yes,No,14.35,32.25,0,16.75,0,775.9,1749.4,0,845,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.66374994220563,3.47351804324178, ,2.81839825827108, ,3.97029191355212,Plus service,No
