case,weighta,weightq,a049,a062,a071,a121,a124,a1661,a172,b010,b1661,b216,b260,g018,g019,c11111,c11121,c11122,c11131,c11141,c11142,c11151,c11211,c11221,c11231,c11241,c11251,c11252,c11253,c11311,c11321,c11331,c11341,c11411,c11421,c11431,c11441,c11451,c11461,c11471,c11511,c11521,c11522,c11531,c11541,c11551,c11611,c11621,c11631,c11641,c11651,c11661,c11671,c11681,c11691,c11711,c11721,c11731,c11741,c11751,c11761,c11771,c11781,c11811,c11821,c11831,c11841,c11851,c11861,c11911,c11921,c11931,c11941,c12111,c12121,c12131,c12211,c12221,c12231,c12241,c21111,c21211,c21212,c21213,c21214,c21221,c21311,c22111,c22121,c22131,cb1111,cb1112,cb1113,cb1114,cb1115,cb1116,cb111c,cb111d,cb111e,cb111f,cb111g,cb111h,cb111i,cb111j,cb1121,cb1122,cb1123,cb1124,cb1125,cb1126,cb1127,cb1128,cb112b,cb1213,c31111,c31211,c31212,c31221,c31222,c31231,c31232,c31233,c31234,c31311,c31312,c31313,c31314,c31315,c31411,c31412,c31413,c32111,c32121,c32131,c32211,c41211,c43111,c43112,c44211,c45112,c45114,c45212,c45214,c45222,c45312,c45411,c45412,c45511,c51113,c51114,c51212,c51311,c52111,c52112,c53111,c53121,c53122,c53131,c53132,c53133,c53141,c53151,c53161,c53171,c53211,c53311,c53312,c53313,c53314,c54111,c54121,c54131,c54132,c54141,c55111,c55112,c55211,c55212,c55213,c55214,c56111,c56112,c56121,c56122,c56123,c56124,c56125,c56211,c56221,c56222,c56223,c61111,c61112,c61211,c61311,c61312,c61313,c62111,c62112,c62113,c62114,c62211,c62212,c62311,c62321,c62322,c62331,c63111,c71112,c71122,c71212,c71311,c71411,c72111,c72112,c72113,c72114,c72115,c72211,c72212,c72213,c72313,c72314,c72411,c72412,c72413,c72414,c73112,c73212,c73213,c73214,c73311,c73312,c73411,c73512,c73513,c73611,c81111,c82111,c82112,c82113,c83112,c83114,c83115,c91111,c91112,c91113,c91121,c91122,c91123,c91124,c91125,c91126,c91127,c91128,c91211,c91221,c91311,c91411,c91412,c91413,c91511,c92111,c92112,c92114,c92116,c92117,c92211,c92221,c92311,c93111,c93112,c93113,c93114,c93211,c93212,c93311,c93312,c93313,c93411,c93412,c93511,c94111,c94112,c94113,c94115,c94211,c94212,c94221,c94232,c94236,c94238,c94239,c94241,c94242,c94243,c94244,c94245,c94246,c94311,c94312,c94313,c94314,c94315,c94316,c94319,c9431a,c9431b,c9431c,c9431d,c9431e,c9431f,c9431i,c95111,c95211,c95212,c95311,c95411,ca1113,ca2113,ca3113,ca4113,ca5113,cb2114,cc1111,cc1211,cc1311,cc1312,cc1313,cc1314,cc1315,cc1316,cc1317,cc3111,cc3112,cc3211,cc3221,cc3222,cc3223,cc3224,cc4111,cc4112,cc4121,cc4122,cc5213,cc5412,cc5413,cc6212,cc6214,cc7111,cc7112,cc7113,cc7114,cc7115,cc7116,ck1211,ck1313,ck1314,ck1315,ck1316,ck1411,ck2111,ck3111,ck3112,ck4111,ck4112,ck5111,ck5113,ck5115,ck5116,ck5212,ck5213,ck5214,ck5215,ck5216,ck5221,ck5222,ck5223,ck5316,a054,a056,a060,a091,a093,a094,p344,p348,p352,p396,sexhrp,a055,a190,gor,gorx,p389,year,p600,p601,p602,p603,p604,p605,p606,p607,p608,p609,p610,p611,p612,p620p,p630p,incanon,a070p,p396p,incranges,se,pt,ft,re,ue,ua,Childband,foodban,ageban
4132,2.848025,11.3921,5,1 man; 1 woman; 3c,Highest age - mixed sex,Owned by rental purchase,2,Home computer present,Internet connection in household,115.39,11.54,0,8.8,2,3,0,1.465,1.585,0,0.35,0,2.825,6.125,0,1.245,7.945,0,2.19,0,0,0,0,1.7,0,2.015,0,0.495,2.035,2.15,0.255,0,0,0.335,0,0,0,0,0.495,0.545,0,0.895,0,0,0,0,0,0.545,1.19,0.295,0,0.995,0.895,1.585,0,0.87,2.075,0.915,0,0,4.16,0,0,0,0,0,0,0.18,1.62,0.82,0,0,9.05,0,0,0,0,0,0,0,0,57.155,0,0,0.3,0.695,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125,1.995,5.769230769,0,6.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.076923077,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.995,0,0,0,0,2.535,10.495,0.98,0,0,0,0,0,2,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,6.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,3.54,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,2.485,6.88,0,0,0,0,0,0,0,0,0,0.94,1.69,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,85.39,1,1,0 - 49.999 pw,Never worked,Unoc - under min ni age,Never Worked and Long-Term Unemployed,697.475,48.29,697.475,38,Female,February,Home Computer access to NET,South East,South East,487.5,2004,631.9842308,52.33,9.05,22.76423077,162.53,27.235,3.2,13.045,23.1,62.455,0,238.175,18.1,116.7045,748.6887308,697.475,38,38,Medium-high income,0,0,0,0,0,1,More than two children,From £ 40 to £ 60,From 30 to 55 years
4133,4.334125,17.3365,1,One woman,Highest age - all female,Housing association,0,No home computer,No internet connection,115.39,0,0,0,1,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.375,0,0,0,0.22,0,0,0,0,0,1.135,0,0.425,0,0,0,0,0,0.745,0.315,1.49,0.7,0,0,0.25,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260 - 279.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,255.7675,0,255.7675,86,Female,February,Not recorded,South East,South East,207.69,2004,140.365,9.535,0,0,125.16,1.485,0,0,3.85,0.335,0,0,0,11.35,151.715,260.2266346,80,80,Low income,0,0,0,1,0,0,No children,£ 20 or less,More than 55 years
4134,4.0349,16.1396,2,One man and 1 woman,Highest age - all female,Owned outright,2,Home computer present,Internet connection in household,0,0,0,0,2,0,3.655,5.88,6.775,1.29,4.07,3.24,1.385,19.305,0,1.495,14.77,2.145,1.295,0,0,0,0,8.065,0,0.29,0,3.485,11.09,1.865,0,0.47,0.33,0,1.745,0,0,0.2,0,1.84,0.995,2.885,2.74,0.495,1.83,0.995,6.405,0.545,2.225,4.095,0,7.315,0.845,0.945,0,0,11.91,0.66,0,0.545,8.5,0,3.075,0,0,0,0,1.62,5.005,4.305,0,10.49,6.495,0,0,0,0,6.965,0,0,0,32.225,0,0,0,0,0,2.4,5.75,0,0,0,12.5,3.5,0,0,0,0,0,0,2.275,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,0.905,0,0,0,0,0,0,0,0,0,0,6.155,3.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.24,0,0,0,0,0,0,0,0,0,52.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.615,0,0,32.98,0,0,0,0,0,0,0,0,0,0,0,0.915,0,0,0,0,0,53.845,0,1.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.915,1.8,0,3.995,0,0,0,0,0,0,0,0,0,0.795,1.785,2.92,0,7.675,6.495,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,2.77,0,1,2,1000 or more,Occupations not stated,Fulltime employee,Occupation not stated,1385.39,0,1193.08,35,Male,February,Home Computer access to NET,South East,South East,984.8018,2004,1018.12,185.99,23.95,7.5,172.22,18.915,10.15,121.445,12.98,281.08,16.15,58.65,109.09,71.52,1089.64,1385.39,40,35,High income,0,0,1,0,0,0,No children,More than £ 60,From 30 to 55 years
4138,3.994525,15.9781,2,One man and 1 woman,Highest age - all female,Rent free,2,No home computer,No internet connection,0,0,0,0,2,0,0,3.275,2.405,0,2.48,1.42,2.4,0,0,1.8,4.485,1.545,1.69,0,0,0.555,1.605,2.375,0,2.62,0.76,1.115,0.695,2.385,0,1.455,0.75,0,0,0,0,1.195,1.885,0.245,0.21,0,1.525,0,0,0.21,1.29,0.745,2.125,0.935,0,0.895,0.415,0.44,0,0,0,0,0,0,3.015,0.165,1.335,0,0.56,1.075,0.22,0.46,1.365,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,6.41,16.96,0,0,0,0,0,0,0,0,0,0,1.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.42,0.315,0,0,0,0,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,0,0,2.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.975,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1.49,9.65,0.575,1.29,0,0,0,0,0,0,0,9.675,0,0.84,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50 - 59.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,416.1825,132.61,416.1825,69,Female,February,Not recorded,South East,South East,400.97,2004,393.085,63.78,0,4.6,31.56,158.7,1.225,71.475,4.38,38.79,0,0.15,18.425,37.84,430.925,416.1825,69,69,Medium-low income,0,0,0,1,0,0,No children,More than £ 60,More than 55 years
4157,3.6308,14.5232,1,One man,Highest age - all male,Owned with mortgage,1,No home computer,No internet connection,0,0,0,0,1,0,0,1.15,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,1.845,0,0,0,0.925,0,0,0,0,0,0,0,0,0,0,0,4.485,0,0.99,0,0,0,0,0.38,0,1,0,0,0,0.37,0,0,0,0,0,0,0,0.69,0,0,2.12,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.2,0,0,4.25,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.62,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.745,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,0,0,0,1,1,575 - 599.999 pw,Lower supervisory,Fulltime employee,Lower Supervisory & Technical,584.3475,0,584.3475,59,Male,August,Not recorded,South East,South East,424.36,2004,146.15,19.985,0,6,10.91,2.08,0,66.62,3.54,11.75,0,12.87,12.395,146.2865,292.4365,588.831258,59,59,Medium-high income,0,0,1,0,0,0,No children,£ 20 or less,More than 55 years
4158,3.31615,13.2646,2,One man and 1 woman,Highest age - all female,Owned outright,1,Home computer present,Internet connection in household,0,0,0,0,2,0,0,1.11,3.565,0,3.23,0,0,2,1.445,2.56,2.875,0,0,0,0,0,0,0.895,0,2.655,0,0,0,0.915,0.39,0,0.98,0,0,0.3,0.16,0,0,0.415,0,0.62,2.04,0.44,0,0,2.2,0.86,3.635,4.605,0,1.065,1.84,0.46,0,0.285,0.495,1.245,0,0,0.46,0,0,0,1.095,0,0,0,0.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.735,0.32,6.73,2.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.755,0,0,1.42,0,0,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.985,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,11,0,1.645,0,0,0,1.97,0,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,90.82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,360 - 379.999 pw,Semi-routine technical,Fulltime employee,Semi-Routine,416.6195,59.032,416.6195,62,Male,August,Home Computer access to NET,South East,South East,344.892,2004,175.45,49.36,0,3.83,16.76,11.36,0,20.45,6.99,18.06,0,17.86,30.78,114.71,290.16,416.6195,63,62,Medium-low income,0,0,1,0,0,0,No children,From £ 40 to £ 60,More than 55 years
4162,3.32875,13.315,2,One man and 1 woman,Highest age - all male,Owned with mortgage,2,Home computer present,Internet connection in household,0,0,0,0,2,0,0,1.75,0,0.4,0.495,3.72,0,2.695,0.985,1.445,0,0,0,0,4.605,1.355,0,0,0,1.95,0,0,2.02,1.085,0.42,0,0.39,0,0,0,0,1.355,0.59,0.745,0.28,0.775,0.845,0.37,0,0,1.26,0.24,2.79,1.715,0,0.775,0.475,0,0,0,0.395,0,0.875,0,2.89,0,0,0,5.185,0,0,0,0.39,0,0,0,7.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.245,0,0,0,0,0,0,0,0,0.84,2.94,0,0,4.245,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.495,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0.795,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.31,0,0,0,0,0,0,0,0,0,0,0,0,2,2,550 - 574.999 pw,Lower managerial,Fulltime employee,Lower Managerial & Professionals,639.15,3.85,639.15,58,Female,August,Home Computer access to NET,South East,South East,537.25,2004,362.58,49.43,7.705,0,16.97,10.27,1.38,15.195,4.62,236.015,0,0,20.995,163.153,525.733,639.15,61,58,Medium-high income,0,0,1,0,0,0,No children,From £ 40 to £ 60,More than 55 years
4163,6.815225,27.2609,4,Three adults; 1c,Highest age - mixed sex,Owned with mortgage,2,No home computer,Internet connection in household,0,4.62,0,0,3,1,0,0.67,2.41,0,0,3.485,1.865,2.72,0,0,0,0.845,0,0,3.485,0,0,0,2.19,2.33,0,2.415,5.465,1.525,0.435,0,0,0.39,0,0,0,0.995,0.55,0.74,0,0.395,1.115,0,0,0,1.52,0.445,0.78,1.035,0,1.235,1.03,1.7,0,0.16,0.19,0.17,0.775,0,1.04,0,0,0,0,0,0.86,0.81,3.525,0.345,0,0,0,0,0,0,0,0,0,0,0,60.84,0,0.55,0,0,0,12,11.75,0,0,3.5,0,12.55,0,0,0.225,0,5.22,10.645,7.875,0,2.03,0,7.625,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.675,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.17,19.88,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.44,0,0,0,0,0,0,0,0,4.995,0,0,0,0,0,1,0,0,0,14.995,0,0,20.55,8.5,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.725,0,0.995,0,0,0,0,0,0,0,5,0,0,7.415,0,0,1.2,1.75,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0,3,3,1000 or more,Higher managerial,Fulltime employee,Large Employers & Higher Managerial,2364.698333,16,2433.515,32,Male,May,Not recorded,South East,South East,1703.12,2004,791.045,52.425,0,38,39.84,52.135,1.8,73.63,13.85,87.07,0,165.57,266.725,325.688,1116.733,2364.698333,32,32,High income,0,0,1,0,0,0,One children,From £ 40 to £ 60,From 30 to 55 years
4187,3.3697,13.4788,5,1 man; 1 woman; 3c,Highest age - all male,Owned outright,1,Home computer present,Internet connection in household,0,3.69,0,0,2,3,0,3.095,6.46,0,5.395,4.85,0.795,2.07,0,0,0,1.29,0,0,4.365,0.49,0,0,0,4.43,0,1.5,0,0,0,0,0.62,0,0,0,0,0,0.835,1.785,0,0,0,0,0.435,0,0.245,0.785,0.275,0.445,0,0.89,0.495,4.26,0,1,0.545,0,0,0,0.295,0,0.56,0,1.575,0,0,1.44,5.275,0.65,0,0,24.515,0,0,0,0,0,0,0,0,5.915,0,0,0,1.55,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925,25.445,0,0,1.275,0,14.995,0,0,0,7.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.495,0,0,0,0,0,0,0,0,0,0.995,3.56,2.73,4,0,0.47,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,2.875,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0.5,0,0,0,0,0,0,0,1.875,1.64,0,1.845,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,1.375,0,0,90,0,48.47,51.48,0,0,0,0,0,0,0,0,0,0,0,1,1,1000 or more,Lower managerial,Fulltime employee,Lower Managerial & Professionals,1584.585,38.6,1455.065,37,Male,November,Home Computer access to NET,South East,South East,1018.8456,2004,243.995,59.585,24.515,22.49,11.95,14.25,0.26,4.5,9.46,26.255,0.5,36.46,33.77,261.725,505.72,1584.585,37,37,High income,0,0,1,0,0,0,More than two children,From £ 40 to £ 60,From 30 to 55 years
4197,3.290775,13.1631,2,One woman; one child,Highest age - all female,Local Authority rented unfurnished,0,Home computer present,Internet connection in household,25.7,0,0,0,1,1,0,4.515,1.085,0,1.29,0,1.005,0,0,0,0,0.895,0,0.71,0,0,0,3.535,0,1.51,0,2.81,4.245,0.72,0.595,0.575,0.415,0,0.925,0,0,0,0.205,0.51,0.395,1.69,1.155,2.165,0.625,0,0.645,0,1.315,0.445,0,0,0,1.425,0,0,1.395,0,0,0,1.96,0,0.94,0,2.32,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,11.595,0,0,0,0,0,0,0,0,0,0,0,0.9,0,6.35,0.235,0,0,0.5,2.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.9,0,0,0,0,0,0,0,0,0,0.475,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,1,1,300 - 319.999 pw,Routine technical,Pt employee,Routine,305.88,84.68,305.88,39,Female,April,Home Computer access to NET,South East,South East,305.88,2004,140,48.35,0,0,37.25,1.46,0,3.3,4.96,14.43,1.54,24.68,4.03,21.49,161.49,344.03,39,39,Medium-low income,0,1,0,0,0,0,One children,From £ 40 to £ 60,From 30 to 55 years
4199,4.2305,16.922,1,One woman,Highest age - all female,Local Authority rented unfurnished,0,No home computer,No internet connection,62,0,0,0,1,0,0,0.88,2.075,0.71,0.395,0.645,1.535,1.595,0,1.245,0.995,0.395,0.945,0,0,0,0,0.48,1.66,1.485,0,0.245,1.54,0.095,0,0,0.21,0,0,0,0,0,0.18,0,0,0,0,0,0.645,0,0,0,0.63,0.495,0,1.8,0.69,1.44,0.34,0,0.585,0.425,0,0,0.645,0,0,0.895,0,0.645,0,0,0.52,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.025,1.01,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160 - 169.999 pw,Not classifiable for other reasons,Ret unoc over min ni age,Not classifiable for other reasons,156.542,156.542,156.542,73,Female,April,Not recorded,South East,South East,156.542,2004,153.86,32.98,8.13,0.495,85.77,3.925,0.24,0,7.72,14.6,0,0,0,15.59,169.45,161.4987308,73,73,Low income,0,0,0,1,0,0,No children,From £ 20 to £ 40,More than 55 years
